DDI-MedLine.d180.s1|DDI-MedLine.d180.s1.e0|DDI-MedLine.d180.s1.e1|null
DDI-MedLine.d180.s10|DDI-MedLine.d180.s10.e0|DDI-MedLine.d180.s10.e1|null
DDI-MedLine.d180.s10|DDI-MedLine.d180.s10.e0|DDI-MedLine.d180.s10.e2|null
DDI-MedLine.d180.s10|DDI-MedLine.d180.s10.e0|DDI-MedLine.d180.s10.e3|null
DDI-MedLine.d180.s10|DDI-MedLine.d180.s10.e1|DDI-MedLine.d180.s10.e2|null
DDI-MedLine.d180.s10|DDI-MedLine.d180.s10.e1|DDI-MedLine.d180.s10.e3|null
DDI-MedLine.d180.s10|DDI-MedLine.d180.s10.e2|DDI-MedLine.d180.s10.e3|null
DDI-MedLine.d180.s12|DDI-MedLine.d180.s12.e0|DDI-MedLine.d180.s12.e1|null
DDI-MedLine.d180.s12|DDI-MedLine.d180.s12.e0|DDI-MedLine.d180.s12.e2|null
DDI-MedLine.d180.s12|DDI-MedLine.d180.s12.e1|DDI-MedLine.d180.s12.e2|null
DDI-DrugBank.d278.s0|DDI-DrugBank.d278.s0.e0|DDI-DrugBank.d278.s0.e1|null
DDI-DrugBank.d41.s0|DDI-DrugBank.d41.s0.e0|DDI-DrugBank.d41.s0.e1|null
DDI-DrugBank.d41.s0|DDI-DrugBank.d41.s0.e0|DDI-DrugBank.d41.s0.e2|null
DDI-DrugBank.d41.s0|DDI-DrugBank.d41.s0.e0|DDI-DrugBank.d41.s0.e3|null
DDI-DrugBank.d41.s0|DDI-DrugBank.d41.s0.e0|DDI-DrugBank.d41.s0.e4|null
DDI-DrugBank.d41.s0|DDI-DrugBank.d41.s0.e1|DDI-DrugBank.d41.s0.e2|null
DDI-DrugBank.d41.s0|DDI-DrugBank.d41.s0.e1|DDI-DrugBank.d41.s0.e3|null
DDI-DrugBank.d41.s0|DDI-DrugBank.d41.s0.e1|DDI-DrugBank.d41.s0.e4|null
DDI-DrugBank.d41.s0|DDI-DrugBank.d41.s0.e2|DDI-DrugBank.d41.s0.e3|null
DDI-DrugBank.d41.s0|DDI-DrugBank.d41.s0.e2|DDI-DrugBank.d41.s0.e4|null
DDI-DrugBank.d41.s0|DDI-DrugBank.d41.s0.e3|DDI-DrugBank.d41.s0.e4|null
DDI-DrugBank.d41.s3|DDI-DrugBank.d41.s3.e0|DDI-DrugBank.d41.s3.e1|null
DDI-DrugBank.d41.s9|DDI-DrugBank.d41.s9.e0|DDI-DrugBank.d41.s9.e1|null
DDI-DrugBank.d41.s9|DDI-DrugBank.d41.s9.e0|DDI-DrugBank.d41.s9.e2|null
DDI-DrugBank.d41.s9|DDI-DrugBank.d41.s9.e1|DDI-DrugBank.d41.s9.e2|null
DDI-DrugBank.d41.s12|DDI-DrugBank.d41.s12.e0|DDI-DrugBank.d41.s12.e1|null
DDI-DrugBank.d41.s14|DDI-DrugBank.d41.s14.e0|DDI-DrugBank.d41.s14.e1|null
DDI-DrugBank.d41.s14|DDI-DrugBank.d41.s14.e0|DDI-DrugBank.d41.s14.e2|null
DDI-DrugBank.d41.s14|DDI-DrugBank.d41.s14.e0|DDI-DrugBank.d41.s14.e3|null
DDI-DrugBank.d41.s14|DDI-DrugBank.d41.s14.e1|DDI-DrugBank.d41.s14.e2|null
DDI-DrugBank.d41.s14|DDI-DrugBank.d41.s14.e1|DDI-DrugBank.d41.s14.e3|null
DDI-DrugBank.d41.s14|DDI-DrugBank.d41.s14.e2|DDI-DrugBank.d41.s14.e3|null
DDI-DrugBank.d41.s15|DDI-DrugBank.d41.s15.e0|DDI-DrugBank.d41.s15.e1|null
